"QuoteName","Quote Name"
"Additems", "Add items"
"PackageName","Package Name"
"ModifyPackage","Modify Package"
"RequestAQuote","Request A Quote"
"UpdatePackage","Update Package"
"Cancel","Cancel"
"CreateQuote","Create Quote"
"CreatePackage","Create Package"
"FormQuoteName","Form Quote Name"
"FormPackageName","Form Package Name"
"FormSourceLanguage", "FormSourceLanguage"
"FormComments","Form Comments"
"FormTargetLanguages","Form Target Languages"
"createQuote","create Quote"
"CreateQuote","Create Quote"
"TranslationPackages", "TranslationPackages"
"NoPackages","No Packages"
"Package","Package"
"LastModified","Last Modified"
"By","By"
"Languages","Languages"
"DeletePackage","Delete Package"
"Delete","Delete"
"RequestAQuote","Request A Quote"
"ModifyPackage","Modify Package"
"Quotes","Quotes"
"NoQuotes","NoQuotes"
"Quote","Quote"
"Status","Status"
"FullReport","Full Report"
"From","From"
"To","To"
"Projects","Projects"
"NoProjects","No Projects"
"Project","Project"
"ImportTranslations","Import Translations"
"CloseProject","Close Project"
"FullReport","FullReport"
"Configure","Configure"
"Token","Token"
"Endpoint","Endpoint"
"SaveConfiguration","Save Configuration"
